value;i94prtl
'ALC';'ALCAN,AK'
'ANC';'ANCHORAGE,AK'
'BAR';'BAKERAAF-BAKERISLAND,AK'
'DAC';'DALTONSCACHE,AK'
'PIZ';'DEWSTATIONPTLAYDEW,AK'
'DTH';'DUTCHHARBOR,AK'
'EGL';'EAGLE,AK'
'FRB';'FAIRBANKS,AK'
'HOM';'HOMER,AK'
'HYD';'HYDER,AK'
'JUN';'JUNEAU,AK'
'5KE';'KETCHIKAN,AK'
'KET';'KETCHIKAN,AK'
'MOS';'MOSESPOINTINTERMEDIATE,AK'
'NIK';'NIKISKI,AK'
'NOM';'NOM,AK'
'PKC';'POKERCREEK,AK'
'ORI';'PORTLIONSSPB,AK'
'SKA';'SKAGWAY,AK'
'SNP';'ST.PAULISLAND,AK'
'TKI';'TOKEEN,AK'
'WRA';'WRANGELL,AK'
'HSV';'MADISONCOUNTY-HUNTSVILLE,AL'
'MOB';'MOBILE,AL'
'LIA';'LITTLEROCK,AR(BPS)'
'ROG';'ROGERSARPT,AR'
'DOU';'DOUGLAS,AZ'
'LUK';'LUKEVILLE,AZ'
'MAP';'MARIPOSAAZ'
'NAC';'NACO,AZ'
'NOG';'NOGALES,AZ'
'PHO';'PHOENIX,AZ'
'POR';'PORTAL,AZ'
'SLU';'SANLUIS,AZ'
'SAS';'SASABE,AZ'
'TUC';'TUCSON,AZ'
'YUI';'YUMA,AZ'
'AND';'ANDRADE,CA'
'BUR';'BURBANK,CA'
'CAL';'CALEXICO,CA'
'CAO';'CAMPO,CA'
'FRE';'FRESNO,CA'
'ICP';'IMPERIALCOUNTY,CA'
'LNB';'LONGBEACH,CA'
'LOS';'LOSANGELES,CA'
'BFL';'MEADOWSFIELD-BAKERSFIELD,CA'
'OAK';'OAKLAND,CA'
'ONT';'ONTARIO,CA'
'OTM';'OTAYMESA,CA'
'BLT';'PACIFIC,HWY.STATION,CA'
'PSP';'PALMSPRINGS,CA'
'SAC';'SACRAMENTO,CA'
'SLS';'SALINAS,CA(BPS)'
'SDP';'SANDIEGO,CA'
'SFR';'SANFRANCISCO,CA'
'SNJ';'SANJOSE,CA'
'SLO';'SANLUISOBISPO,CA'
'SLI';'SANLUISOBISPO,CA(BPS)'
'SPC';'SANPEDRO,CA'
'SYS';'SANYSIDRO,CA'
'SAA';'SANTAANA,CA'
'STO';'STOCKTON,CA(BPS)'
'TEC';'TECATE,CA'
'TRV';'TRAVIS-AFB,CA'
'APA';'ARAPAHOECOUNTY,CO'
'ASE';'ASPEN,CO#ARPT'
'COS';'COLORADOSPRINGS,CO'
'DEN';'DENVER,CO'
'DRO';'LAPLATA-DURANGO,CO'
'BDL';'BRADLEYINTERNATIONAL,CT'
'BGC';'BRIDGEPORT,CT'
'GRT';'GROTON,CT'
'HAR';'HARTFORD,CT'
'NWH';'NEWHAVEN,CT'
'NWL';'NEWLONDON,CT'
'TST';'NEWINGTONDATACENTERTEST,CT'
'WAS';'WASHINGTONDC'
'DOV';'DOVERAFB,DE'
'DVD';'DOVER-AFB,DE'
'WLL';'WILMINGTON,DE'
'BOC';'BOCAGRANDE,FL'
'SRQ';'BRADENTON-SARASOTA,FL'
'CAN';'CAPECANAVERAL,FL'
'DAB';'DAYTONABEACHINTERNATIONAL,FL'
'FRN';'FERNANDINA,FL'
'FTL';'FORTLAUDERDALE,FL'
'FMY';'FORTMYERS,FL'
'FPF';'FORTPIERCE,FL'
'HUR';'HURLBURTFIELD,FL'
'GNV';'JRALISONMUNI-GAINESVILLE,FL'
'JAC';'JACKSONVILLE,FL'
'KEY';'KEYWEST,FL'
'LEE';'LEESBURGMUNICIPALAIRPORT,FL'
'MLB';'MELBOURNE,FL'
'MIA';'MIAMI,FL'
'APF';'NAPLES,FL#ARPT'
'OPF';'OPALOCKA,FL'
'ORL';'ORLANDO,FL'
'PAN';'PANAMACITY,FL'
'PEN';'PENSACOLA,FL'
'PCF';'PORTCANAVERAL,FL'
'PEV';'PORTEVERGLADES,FL'
'PSJ';'PORTSTJOE,FL'
'SFB';'SANFORD,FL'
'SGJ';'STAUGUSTINEARPT,FL'
'SAU';'STAUGUSTINE,FL'
'FPR';'STLUCIECOUNTY,FL'
'SPE';'STPETERSBURG,FL'
'TAM';'TAMPA,FL'
'WPB';'WESTPALMBEACH,FL'
'ATL';'ATLANTA,GA'
'BRU';'BRUNSWICK,GA'
'AGS';'BUSHFIELD-AUGUSTA,GA'
'SAV';'SAVANNAH,GA'
'AGA';'AGANA,GU'
'HHW';'HONOLULU,HI'
'OGG';'KAHULUI-MAUI,HI'
'KOA';'KEAHOLE-KONA,HI'
'LIH';'LIHUE,HI'
'CID';'CEDARRAPIDS/IOWACITY,IA'
'DSM';'DESMOINES,IA'
'BOI';'AIRTERM.(GOWENFLD)BOISE,ID'
'EPI';'EASTPORT,ID'
'IDA';'FANNINGFIELD-IDAHOFALLS,ID'
'PTL';'PORTHILL,ID'
'SPI';'CAPITAL-SPRINGFIELD,IL'
'CHI';'CHICAGO,IL'
'DPA';'DUPAGECOUNTY,IL'
'PIA';'GREATERPEORIA,IL'
'RFD';'GREATERROCKFORD,IL'
'UGN';'MEMORIAL-WAUKEGAN,IL'
'GAR';'GARY,IN'
'HMM';'HAMMOND,IN'
'INP';'INDIANAPOLIS,IN'
'MRL';'MERRILLVILLE,IN'
'SBN';'SOUTHBEND,IN'
'ICT';'MID-CONTINENT-WITCHITA,KS'
'LEX';'BLUEGRASS-LEXINGTON,KY'
'LOU';'LOUISVILLE,KY'
'BTN';'BATONROUGE,LA'
